gateway-1  | 
gateway-1  | 2026-05-01T04:45:27.626Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.c.OnEnabledPredicate           : Condition OnEnabledPredicate on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#xForwardedRemoteAddrRoutePredicateFactory matched
gateway-1  | 2026-05-01T04:45:27.627Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.c.OnEnabledPredicate           : Condition OnEnabledPredicate on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#weightRoutePredicateFactory matched
gateway-1  | 2026-05-01T04:45:27.628Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.c.OnEnabledPredicate           : Condition OnEnabledPredicate on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#cloudFoundryRouteServiceRoutePredicateFactory matched
gateway-1  | 2026-05-01T04:45:27.633Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.conditional.OnEnabledFilter    : Condition OnEnabledFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#addRequestHeaderGatewayFilterFactory matched
gateway-1  | 2026-05-01T04:45:27.643Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.conditional.OnEnabledFilter    : Condition OnEnabledFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#addRequestHeadersIfNotPresentGatewayFilterFactory matched
gateway-1  | 2026-05-01T04:45:27.644Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.conditional.OnEnabledFilter    : Condition OnEnabledFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#mapRequestHeaderGatewayFilterFactory matched
gateway-1  | 2026-05-01T04:45:27.645Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.conditional.OnEnabledFilter    : Condition OnEnabledFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#addRequestParameterGatewayFilterFactory matched
gateway-1  | 2026-05-01T04:45:27.646Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.conditional.OnEnabledFilter    : Condition OnEnabledFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#addResponseHeaderGatewayFilterFactory matched
gateway-1  | 2026-05-01T04:45:27.648Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.conditional.OnEnabledFilter    : Condition OnEnabledFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#modifyRequestBodyGatewayFilterFactory matched
gateway-1  | 2026-05-01T04:45:27.650Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.conditional.OnEnabledFilter    : Condition OnEnabledFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#dedupeResponseHeaderGatewayFilterFactory matched
gateway-1  | 2026-05-01T04:45:27.652Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.conditional.OnEnabledFilter    : Condition OnEnabledFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#modifyResponseBodyGatewayFilterFactory matched
gateway-1  | 2026-05-01T04:45:27.663Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.conditional.OnEnabledFilter    : Condition OnEnabledFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#cacheRequestBodyGatewayFilterFactory matched
gateway-1  | 2026-05-01T04:45:27.664Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.conditional.OnEnabledFilter    : Condition OnEnabledFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#prefixPathGatewayFilterFactory matched
gateway-1  | 2026-05-01T04:45:27.667Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.conditional.OnEnabledFilter    : Condition OnEnabledFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#preserveHostHeaderGatewayFilterFactory matched
gateway-1  | 2026-05-01T04:45:27.668Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.conditional.OnEnabledFilter    : Condition OnEnabledFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#redirectToGatewayFilterFactory matched
gateway-1  | 2026-05-01T04:45:27.670Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.conditional.OnEnabledFilter    : Condition OnEnabledFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#removeJsonAttributesResponseBodyGatewayFilterFactory matched
gateway-1  | 2026-05-01T04:45:27.671Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.conditional.OnEnabledFilter    : Condition OnEnabledFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#removeRequestHeaderGatewayFilterFactory matched
gateway-1  | 2026-05-01T04:45:27.672Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.conditional.OnEnabledFilter    : Condition OnEnabledFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#removeRequestParameterGatewayFilterFactory matched
gateway-1  | 2026-05-01T04:45:27.673Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.conditional.OnEnabledFilter    : Condition OnEnabledFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#removeResponseHeaderGatewayFilterFactory matched
gateway-1  | 2026-05-01T04:45:27.714Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.conditional.OnEnabledFilter    : Condition OnEnabledFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#rewritePathGatewayFilterFactory matched
gateway-1  | 2026-05-01T04:45:27.716Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.conditional.OnEnabledFilter    : Condition OnEnabledFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#retryGatewayFilterFactory matched
gateway-1  | 2026-05-01T04:45:27.718Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.conditional.OnEnabledFilter    : Condition OnEnabledFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#setPathGatewayFilterFactory matched
gateway-1  | 2026-05-01T04:45:27.719Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.conditional.OnEnabledFilter    : Condition OnEnabledFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#secureHeadersGatewayFilterFactory matched
gateway-1  | 2026-05-01T04:45:27.720Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.conditional.OnEnabledFilter    : Condition OnEnabledFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#setRequestHeaderGatewayFilterFactory matched
gateway-1  | 2026-05-01T04:45:27.723Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.conditional.OnEnabledFilter    : Condition OnEnabledFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#setRequestHostHeaderGatewayFilterFactory matched
gateway-1  | 2026-05-01T04:45:27.724Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.conditional.OnEnabledFilter    : Condition OnEnabledFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#setResponseHeaderGatewayFilterFactory matched
gateway-1  | 2026-05-01T04:45:27.725Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.conditional.OnEnabledFilter    : Condition OnEnabledFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#rewriteResponseHeaderGatewayFilterFactory matched
gateway-1  | 2026-05-01T04:45:27.726Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.conditional.OnEnabledFilter    : Condition OnEnabledFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#rewriteLocationResponseHeaderGatewayFilterFactory matched
gateway-1  | 2026-05-01T04:45:27.727Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.conditional.OnEnabledFilter    : Condition OnEnabledFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#setStatusGatewayFilterFactory matched
gateway-1  | 2026-05-01T04:45:27.728Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.conditional.OnEnabledFilter    : Condition OnEnabledFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#saveSessionGatewayFilterFactory matched
gateway-1  | 2026-05-01T04:45:27.729Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.conditional.OnEnabledFilter    : Condition OnEnabledFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#stripPrefixGatewayFilterFactory matched
gateway-1  | 2026-05-01T04:45:27.731Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.conditional.OnEnabledFilter    : Condition OnEnabledFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#requestHeaderToRequestUriGatewayFilterFactory matched
gateway-1  | 2026-05-01T04:45:27.733Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.conditional.OnEnabledFilter    : Condition OnEnabledFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#setRequestUriGatewayFilterFactory matched
gateway-1  | 2026-05-01T04:45:27.734Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.conditional.OnEnabledFilter    : Condition OnEnabledFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#requestSizeGatewayFilterFactory matched
gateway-1  | 2026-05-01T04:45:27.735Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.conditional.OnEnabledFilter    : Condition OnEnabledFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#requestHeaderSizeGatewayFilterFactory matched
gateway-1  | 2026-05-01T04:45:27.737Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.conditional.OnEnabledFilter    : Condition OnEnabledFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#rewriteRequestParameterGatewayFilterFactory matched
gateway-1  | 2026-05-01T04:45:29.386Z  INFO 1 --- [gateway] [           main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=9ef9e435-46b4-3484-ab5a-a0a244f3857d
gateway-1  | 2026-05-01T04:45:29.722Z DEBUG 1 --- [gateway] [           main] o.s.c.gateway.config.GatewayProperties   : Routes supplied from Gateway Properties: [RouteDefinition{id='oauth2-server', predicates=[PredicateDefinition{name='Path', args={_genkey_0=/oauth2/**}}], filters=[FilterDefinition{name='PreserveHostHeader', args={}}], uri=lb://auth-server, order=0, metadata={}, enabled=true}, RouteDefinition{id='oauth2-login', predicates=[PredicateDefinition{name='Path', args={_genkey_0=/login/**}}], filters=[FilterDefinition{name='PreserveHostHeader', args={}}], uri=lb://auth-server, order=0, metadata={}, enabled=true}, RouteDefinition{id='oauth2-error', predicates=[PredicateDefinition{name='Path', args={_genkey_0=/error/**}}], filters=[FilterDefinition{name='PreserveHostHeader', args={}}], uri=lb://auth-server, order=0, metadata={}, enabled=true}, RouteDefinition{id='oauth2-well-known', predicates=[PredicateDefinition{name='Path', args={_genkey_0=/.well-known/**}}], filters=[FilterDefinition{name='PreserveHostHeader', args={}}], uri=lb://auth-server, order=0, metadata={}, enabled=true}, RouteDefinition{id='product-composite', predicates=[PredicateDefinition{name='Path', args={_genkey_0=/product-composite/**}}], filters=[], uri=lb://product-composite-service, order=0, metadata={}, enabled=true}, RouteDefinition{id='product-composite-swagger-ui', predicates=[PredicateDefinition{name='Path', args={_genkey_0=/openapi/**}}], filters=[], uri=lb://product-composite-service, order=0, metadata={}, enabled=true}, RouteDefinition{id='eureka-api', predicates=[PredicateDefinition{name='Path', args={_genkey_0=/eureka/api/{segment}}}], filters=[FilterDefinition{name='SetPath', args={_genkey_0=/eureka/{segment}}}], uri=http://eureka:8761, order=0, metadata={}, enabled=true}, RouteDefinition{id='eureka-web-start', predicates=[PredicateDefinition{name='Path', args={_genkey_0=/eureka/web}}], filters=[FilterDefinition{name='SetPath', args={_genkey_0=/}}], uri=http://eureka:8761, order=0, metadata={}, enabled=true}, RouteDefinition{id='eureka-web-other', predicates=[PredicateDefinition{name='Path', args={_genkey_0=/eureka/**}}], filters=[], uri=http://eureka:8761, order=0, metadata={}, enabled=true}, RouteDefinition{id='host_route_200', predicates=[PredicateDefinition{name='Host', args={_genkey_0=i.feel.lucky:8080}}, PredicateDefinition{name='Path', args={_genkey_0=/headerrouting/**}}], filters=[FilterDefinition{name='SetPath', args={_genkey_0=/200}}], uri=http://httpstat.us, order=0, metadata={}, enabled=true}, RouteDefinition{id='host_route_418', predicates=[PredicateDefinition{name='Host', args={_genkey_0=im.a.teapot:8080}}, PredicateDefinition{name='Path', args={_genkey_0=/headerrouting/**}}], filters=[FilterDefinition{name='SetPath', args={_genkey_0=/418}}], uri=http://httpstat.us, order=0, metadata={}, enabled=true}, RouteDefinition{id='host_route_501', predicates=[PredicateDefinition{name='Path', args={_genkey_0=/headerrouting/**}}], filters=[FilterDefinition{name='SetPath', args={_genkey_0=/501}}], uri=http://httpstat.us, order=0, metadata={}, enabled=true}]
gateway-1  | 2026-05-01T04:45:32.761Z  INFO 1 --- [gateway] [           main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [After]
gateway-1  | 2026-05-01T04:45:32.761Z  INFO 1 --- [gateway] [           main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [Before]
gateway-1  | 2026-05-01T04:45:32.761Z  INFO 1 --- [gateway] [           main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [Between]
gateway-1  | 2026-05-01T04:45:32.761Z  INFO 1 --- [gateway] [           main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [Cookie]
gateway-1  | 2026-05-01T04:45:32.762Z  INFO 1 --- [gateway] [           main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [Header]
gateway-1  | 2026-05-01T04:45:32.762Z  INFO 1 --- [gateway] [           main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [Host]
gateway-1  | 2026-05-01T04:45:32.762Z  INFO 1 --- [gateway] [           main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [Method]
gateway-1  | 2026-05-01T04:45:32.762Z  INFO 1 --- [gateway] [           main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [Path]
gateway-1  | 2026-05-01T04:45:32.762Z  INFO 1 --- [gateway] [           main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [Query]
gateway-1  | 2026-05-01T04:45:32.762Z  INFO 1 --- [gateway] [           main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [ReadBody]
gateway-1  | 2026-05-01T04:45:32.762Z  INFO 1 --- [gateway] [           main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [RemoteAddr]
gateway-1  | 2026-05-01T04:45:32.762Z  INFO 1 --- [gateway] [           main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [Version]
gateway-1  | 2026-05-01T04:45:32.762Z  INFO 1 --- [gateway] [           main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [XForwardedRemoteAddr]
gateway-1  | 2026-05-01T04:45:32.763Z  INFO 1 --- [gateway] [           main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [Weight]
gateway-1  | 2026-05-01T04:45:32.763Z  INFO 1 --- [gateway] [           main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [CloudFoundryRouteService]
gateway-1  | 2026-05-01T04:45:33.200Z  INFO 1 --- [gateway] [           main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 17 endpoints beneath base path '/actuator'
gateway-1  | 2026-05-01T04:45:33.577Z  INFO 1 --- [gateway] [           main] DiscoveryClientOptionalArgsConfiguration : Eureka HTTP Client uses RestClient.
gateway-1  | 2026-05-01T04:45:33.620Z  WARN 1 --- [gateway] [           main] iguration$LoadBalancerCaffeineWarnLogger : Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
gateway-1  | 2026-05-01T04:45:33.730Z  INFO 1 --- [gateway] [           main] o.s.c.n.eureka.InstanceInfoFactory       : Setting initial instance status as: STARTING
gateway-1  | 2026-05-01T04:45:33.762Z  INFO 1 --- [gateway] [           main] com.netflix.discovery.DiscoveryClient    : Initializing Eureka in region us-east-1
gateway-1  | 2026-05-01T04:45:33.766Z  INFO 1 --- [gateway] [           main] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
gateway-1  | 2026-05-01T04:45:33.776Z  INFO 1 --- [gateway] [           main] com.netflix.discovery.DiscoveryClient    : Disable delta property : false
gateway-1  | 2026-05-01T04:45:33.776Z  INFO 1 --- [gateway] [           main] com.netflix.discovery.DiscoveryClient    : Single vip registry refresh property : null
gateway-1  | 2026-05-01T04:45:33.776Z  INFO 1 --- [gateway] [           main] com.netflix.discovery.DiscoveryClient    : Force full registry fetch : false
gateway-1  | 2026-05-01T04:45:33.776Z  INFO 1 --- [gateway] [           main] com.netflix.discovery.DiscoveryClient    : Application is null : false
gateway-1  | 2026-05-01T04:45:33.777Z  INFO 1 --- [gateway] [           main] com.netflix.discovery.DiscoveryClient    : Registered Applications size is zero : true
gateway-1  | 2026-05-01T04:45:33.777Z  INFO 1 --- [gateway] [           main] com.netflix.discovery.DiscoveryClient    : Application version is -1: true
gateway-1  | 2026-05-01T04:45:33.777Z  INFO 1 --- [gateway] [           main] com.netflix.discovery.DiscoveryClient    : Getting all instance registry info from the eureka server
gateway-1  | 2026-05-01T04:45:34.492Z  INFO 1 --- [gateway] [           main] com.netflix.discovery.DiscoveryClient    : The response status is 200
gateway-1  | 2026-05-01T04:45:34.497Z  INFO 1 --- [gateway] [           main] com.netflix.discovery.DiscoveryClient    : Starting heartbeat executor: renew interval is: 5
gateway-1  | 2026-05-01T04:45:34.513Z  INFO 1 --- [gateway] [           main] c.n.discovery.InstanceInfoReplicator     : InstanceInfoReplicator onDemand update allowed rate per min is 4
gateway-1  | 2026-05-01T04:45:34.519Z  INFO 1 --- [gateway] [           main] com.netflix.discovery.DiscoveryClient    : Discovery Client initialized at timestamp 1777610734517 with initial instances count: 6
